Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x17400000058f33893de6eb6ae9a67442e066ae9abd228f5290ca9059cbb00
operate, SSTORE, operate, SSTORE, inner, 0x17400000058f33893de6eb6ae9a67442e066ae9abd228f5290ca9059cbb00, 0xcae0494ae80d62a5a5843734c40f999d138f03500
operate, SSTORE, operate, SSTORE, inner, 0xcae0494ae80d62a5a5843734c40f999d138f03500, 0xab599d0fc400
operate, SSTORE, operate, SSTORE, inner, 0xab599d0fc400, 0xb80cae0494ae80d62a5a5843734c40f999d138f035022c0d9f0000000000
operate, SSTORE, operate, SSTORE, inner, 0xb80cae0494ae80d62a5a5843734c40f999d138f035022c0d9f0000000000, 0x84afc8589b73cdd0000000000
operate, SSTORE, operate, SSTORE, inner, 0x84afc8589b73cdd0000000000, 0x0
operate, SSTORE, operate, SSTORE, inner, 0x0, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac40000000000
operate, SSTORE, operate, SSTORE, inner, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac40000000000, 0x800000000000
operate, SSTORE, operate, SSTORE, inner, 0x800000000000, 0x58c0
operate, SSTORE, operate, SSTORE, inner, 0x58c0, 0x2aaa39b223fe8d0a0e5c4f27ead9083c756cc2a9059cbb000000000000000000
operate, SSTORE, operate, SSTORE, inner, 0x2aaa39b223fe8d0a0e5c4f27ead9083c756cc2a9059cbb000000000000000000, 0xdf8ef8a76c33b4f259bb72241a8697e307548c8b000000000000000000
operate, SSTORE, operate, SSTORE, inner, 0xdf8ef8a76c33b4f259bb72241a8697e307548c8b000000000000000000, 0x80b10c878007f800100000100000198df
operate, SSTORE, operate, SSTORE, inner, 0x80b10c878007f800100000100000198df, 0x100000000000000000000000000000000
operate, SSTORE, addr, 0xdf8ef8a76c33b4f259bb72241a8697e307548c8b, inner, 0x100000000000000000000000000000000, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xdf8ef8a76c33b4f259bb72241a8697e307548c8b, CALL, 1, 2
addr, 0xdf8ef8a76c33b4f259bb72241a8697e307548c8b, func, swap(uint256,uint256,address,bytes), inner, 1, 4
func, swap(uint256,uint256,address,bytes), operate, SLOAD, inner, 4, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x6493cb9b000000000000000034b3d58b0f9c0000000000026ce40b5825db4196
operate, SLOAD, operate, SLOAD, inner, 0x6493cb9b000000000000000034b3d58b0f9c0000000000026ce40b5825db4196, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
operate, SLOAD, operate, SLOAD, inner, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xf33893de6eb6ae9a67442e066ae9abd228f5290c
operate, SLOAD, addr, 0xf33893de6eb6ae9a67442e066ae9abd228f5290c, inner, 0xf33893de6eb6ae9a67442e066ae9abd228f5290c, 2
addr, 0xdf8ef8a76c33b4f259bb72241a8697e307548c8b, addr, 0xf33893de6eb6ae9a67442e066ae9abd228f5290c, CALL, 2, 3
addr, 0xf33893de6eb6ae9a67442e066ae9abd228f5290c, func, undefined, inner, 2, N
func, undefined, operate, SLOAD, inner, N, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x34b3d58b0f9c
